EventID,Division,FinalRank,PDGAPoints,Name,PDGANumber,Rating,FinalScore,RoundOneScore,RoundTwoScore,RoundThreeScore,RoundFourScore,TotalScore,Payout,City,State,Country
47512,FPO,32,36,Rochelle Browning,101496,860,30,76,71,75,,222,,,,
47512,FPO,32,36,Katelyn Belty,106422,868,30,80,68,74,,222,,,,
47512,FPO,34,24,Chelsea Harden,63377,864,32,75,75,74,,224,,,,
47512,FPO,34,24,Anna Pinter,106489,831,32,72,78,74,,224,,,,
47512,MPO,35,1060,Chris Harris,37146,1002,-10,61,56,59,,176,$400,,,
47512,MPO,35,1060,Luke Humphries,69424,1014,-10,60,59,57,,176,$400,,,
47512,MPO,35,1060,Elijah Bickel,94844,1024,-10,61,60,55,,176,$400,,,
47512,FPO,36,12,Hali Trevena,56845,853,33,72,75,78,,225,,,,
47512,FPO,37,0,Christina Linthicum,50045,920,,999,,,,DNF,,,,
47512,MPO,38,1030,Benjamin Callaway,39015,1013,-9,58,59,60,,177,$365,,,
47512,MPO,38,1030,Mason Ford,72844,1028,-9,60,60,57,,177,$365,,,
47512,MPO,38,1030,Jason Mathe,98861,963,-9,57,62,58,,177,$365,,,
47512,MPO,38,1030,Chandler Kramer,139228,972,-9,59,57,61,,177,$365,,,
47512,MPO,42,990,Austin Hannum,68835,1019,-8,58,58,62,,178,$338,,,
47512,MPO,42,990,Thomas Gilbert,85850,1024,-8,56,59,63,,178,$338,,,
47512,MPO,42,990,Kevin Kiefer III,97115,999,-8,56,62,60,,178,$338,,,
47512,MPO,42,990,Jonathan Nicholson,101390,1012,-8,63,56,59,,178,$338,,,
47512,MPO,46,950,Nolan Grider,13219,1019,-7,60,61,58,,179,$320,,,
47512,MPO,46,950,Coda Hatfield,23651,1003,-7,61,57,61,,179,$320,,,
47512,MPO,46,950,Paul Ulibarri,27171,1027,-7,57,59,63,,179,$320,,,
47512,MPO,49,920,Tanner Girouard,88077,999,-6,62,59,59,,180,$310,,,
47512,MPO,50,910,Timothy Escobedo Jr,22698,1011,-5,64,56,61,,181,$303,,,
47512,MPO,50,910,Chase Van Burkleo,58680,985,-5,61,63,57,,181,$303,,,
47512,MPO,52,890,John Willis II,23844,993,-4,62,59,61,,182,$235,,,
47512,MPO,52,890,Alan Wagner,28550,1001,-4,63,60,59,,182,$235,,,
47512,MPO,52,890,Michael Hoffman,46997,997,-4,64,60,58,,182,$235,,,
47512,MPO,52,890,Jesse Ginthum,49975,1008,-4,61,61,60,,182,$235,,,
47512,MPO,52,890,Eric Oakley,53565,1022,-4,61,59,62,,182,$235,,,
47512,MPO,52,890,Isaac Marrs,65220,969,-4,65,60,57,,182,$235,,,
47512,MPO,58,830,Jason Hebenheimer,43762,992,-3,63,56,64,,183,,,,
47512,MPO,58,830,Zackeriath Johnson,50312,1005,-3,64,59,60,,183,,,,
47512,MPO,58,830,Trevon Crowe,67172,995,-3,60,65,58,,183,,,,
47512,MPO,58,830,Aidan Guthrie,96832,983,-3,60,62,61,,183,,,,
47512,MPO,58,830,Connor O'Reilly,99648,1011,-3,59,58,66,,183,,,,
47512,MPO,63,780,Reid Frescura,48338,1009,-2,62,63,59,,184,,,,
47512,MPO,63,780,Noah Meintsma,56555,1013,-2,61,59,64,,184,,,,
47512,MPO,63,780,Ian Burchett,60435,998,-2,66,58,60,,184,,,,
47512,MPO,66,750,Garrett Tapken,48873,995,-1,62,62,61,,185,,,,
47512,MPO,66,750,Luke Samson,59419,992,-1,61,61,63,,185,,,,
