,Name,PDGANumber,Division,EventTour,TopEight,TopSixteen,TopThirtyTwo,AverageFinish,SilverSeriesStops,EliteSeriesStops,PDPTStops,NTStopsBeforeMCO,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,Eleventh,Twelfth,Thirteenth,Fourteenth,Fifteenth,Sixteenth,Seventeenth,Eighteenth,Nineteenth,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,32nd,33rd,34th,35th,36th
32,Terry Rothlisberger,57493,MPO,NT,0,0,345,39.097,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,12.0,14.0,13.0,27.0,15.0,20.0,29.0,37.0,46.0,41.0,51.0,32.0,41.0,38.0,40.0,34.0
33,Austin Hoop,72423,MPO,NT,0,0,0,51.723,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Kat Mertsch,99455,FPO,NT,688,1000,1000,7.467,0,0,0,4,0.0,1.0,2.0,41.0,179.0,180.0,159.0,126.0,114.0,80.0,61.0,41.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Casey Pennington,74708,FPO,NT,0,0,0,43.239,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Sara Sinclair,41012,FPO,NT,0,0,1000,22.479,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,224.0,257.0,192.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Sami Keddington,52010,FPO,NT,0,0,0,46.909,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Maria Oliva,63257,FPO,NT,0,13,1000,18.15,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,187.0,477.0,282.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Chandler Fry,25541,MPO,NT,1,263,886,22.315,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,27.0,48.0,53.0,42.0,42.0,36.0,39.0,34.0,38.0,61.0,50.0,50.0,40.0,36.0,42.0,42.0,46.0,28.0,10.0,20.0,31.0,56.0,58.0,33.0,14.0,8.0
40,Colten Montgomery,35876,MPO,NT,157,659,1000,14.341,0,0,0,4,0.0,0.0,0.0,0.0,3.0,18.0,33.0,103.0,110.0,89.0,66.0,59.0,54.0,45.0,49.0,30.0,15.0,16.0,22.0,43.0,60.0,90.0,52.0,32.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Alex Russell,66362,MPO,NT,14,370,1000,19.939,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,45.0,49.0,50.0,50.0,47.0,43.0,34.0,38.0,24.0,25.0,46.0,31.0,58.0,49.0,29.0,15.0,21.0,48.0,92.0,93.0,68.0,20.0,8.0,3.0,0.0,0.0,0.0,0.0
42,Kyle Klein,85132,MPO,NT,0,0,1000,25.479,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,34.0,72.0,152.0,233.0,241.0,155.0,80.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Ellen Widboom,58276,FPO,NT,319,974,1000,10.475,0,0,0,4,0.0,0.0,0.0,3.0,31.0,82.0,107.0,96.0,78.0,93.0,112.0,117.0,110.0,68.0,61.0,16.0,7.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Krissie Fountain,73693,FPO,NT,0,0,0,51.024,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Des Reading,15863,FPO,NT,0,0,0,52.57,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Brian Earhart,45879,MPO,NT,0,0,84,54.654,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,5.0,11.0,6.0,18.0,13.0,22.0,17.0,10.0,24.0,18.0
47,Matt Bell,48950,MPO,NT,11,374,998,19.637,0,0,0,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,28.0,43.0,67.0,60.0,57.0,41.0,36.0,31.0,46.0,33.0,41.0,59.0,64.0,47.0,37.0,17.0,9.0,15.0,39.0,61.0,71.0,53.0,27.0,5.0,0.0,2.0,0.0,0.0
48,Ezra Robinson,50671,MPO,NT,1,317,943,21.41,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,27.0,57.0,40.0,53.0,40.0,47.0,40.0,27.0,31.0,42.0,50.0,36.0,61.0,57.0,47.0,35.0,22.0,17.0,13.0,16.0,49.0,70.0,53.0,41.0,12.0,4.0,0.0
49,Adam Hammes,57365,MPO,NT,954,1000,1000,3.81,0,0,0,4,18.0,355.0,184.0,121.0,127.0,93.0,32.0,24.0,29.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Nate Perkins,65737,MPO,NT,0,0,117,52.687,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,4.0,6.0,10.0,18.0,24.0,20.0,26.0,27.0,15.0,23.0,21.0
51,Julie Eagle,78135,FPO,NT,0,0,1000,26.954,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,913.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Raven Newsom,88212,MPO,NT,0,82,696,27.435,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0,18.0,18.0,22.0,23.0,28.0,33.0,38.0,57.0,43.0,42.0,37.0,37.0,41.0,52.0,51.0,59.0,40.0,20.0,13.0,9.0,15.0,27.0,72.0
53,Brodie Smith,128378,MPO,NT,0,0,0,43.359,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Deann Carey,66842,FPO,NT,19,583,1000,15.582,0,0,0,4,0.0,0.0,0.0,0.0,0.0,2.0,7.0,10.0,20.0,25.0,40.0,68.0,114.0,112.0,111.0,74.0,47.0,94.0,155.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Kona Star Panis,27832,FPO,NT,1000,1000,1000,2.389,0,0,0,4,0.0,695.0,231.0,65.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Stacie Rawnsley,122208,FPO,NT,5,319,1000,17.557,0,0,0,4,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,3.0,11.0,20.0,52.0,64.0,66.0,94.0,64.0,63.0,273.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Shannon Prendergast,65961,FPO,NT,0,0,1000,22.037,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,451.0,232.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Hannah McBeth,66939,FPO,NT,0,0,861,31.748,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,452.0,122.0,16.0,1.0,0.0
59,Jenny Umstead,42066,FPO,NT,0,0,0,63.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Miles Seaborn,29264,MPO,NT,0,0,0,39.6,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
61,Bradley Williams,31644,MPO,NT,0,0,227,46.375,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,10.0,28.0,40.0,39.0,41.0,49.0,52.0,50.0,27.0,26.0
62,Zach Melton,38631,MPO,NT,0,0,87,55.917,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,11.0,13.0,11.0,23.0,23.0,20.0,19.0,23.0,22.0
63,Chris Clemons,50401,MPO,NT,37,550,1000,16.801,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,64.0,82.0,95.0,92.0,66.0,41.0,35.0,38.0,32.0,32.0,46.0,52.0,40.0,38.0,23.0,12.0,6.0,25.0,34.0,53.0,43.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
64,Esther Schultz,79049,FPO,NT,0,0,0,64.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Rochelle Browning,101496,FPO,NT,0,0,0,67.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Katelyn Belty,106422,FPO,NT,0,0,0,40.3,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Chelsea Harden,63377,FPO,NT,0,0,0,41.609,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Anna Pinter,106489,FPO,NT,0,0,0,45.577,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
