name,pdga_number,rating,current_rank,current_points,mean_final_points,mean_final_rank,p_top28_standings,p_top32,p_no1_seed
Simon Crosby,80054,1002.0,234,13.33,13.3,250.3,0.0,0.0,0.0
Tristan Cook,167159,994.0,235,13.33,13.3,250.3,0.0,0.0,0.0
Thomas Canfield,103148,988.0,236,13.2,13.2,252.5,0.0,0.0,0.0
Axel Wernborg,162717,999.0,237,13.2,13.2,252.5,0.0,0.0,0.0
Lassi Kähäri,138760,988.0,238,12.71,12.7,255.9,0.0,0.0,0.0
Leevi Lähdesmäki,124993,997.0,239,12.71,12.7,255.8,0.0,0.0,0.0
Mika Laikko,116266,1000.0,240,12.71,12.7,255.9,0.0,0.0,0.0
Luca Nieminen,258499,1006.0,241,12.71,12.7,255.9,0.0,0.0,0.0
Ture Valtonen,101609,990.0,242,12.53,12.5,258.5,0.0,0.0,0.0
Joseph Carey,73855,988.0,243,12.33,12.3,260.6,0.0,0.0,0.0
Ryan Hahn,135358,990.0,244,12.33,12.3,260.6,0.0,0.0,0.0
Bennett Doemland,123741,994.0,245,12.33,13.4,254.9,0.0,0.0,0.0
Ethan Bishop,212280,1004.0,246,12.07,12.1,262.6,0.0,0.0,0.0
Xaelen Nash,46192,1020.0,247,12.0,36.7,201.8,0.0,0.0,0.0
Owen Hamilton,197577,987.0,248,12.0,12.0,266.2,0.0,0.0,0.0
Ezra Hapner,25000,994.0,249,12.0,12.0,266.1,0.0,0.0,0.0
Edvard Espeset Hjemdal,158169,984.0,250,12.0,12.0,266.1,0.0,0.0,0.0
Mikael Hautala,108302,998.0,251,12.0,12.0,266.0,0.0,0.0,0.0
Jimi Tapanila,203005,983.0,252,12.0,12.0,266.0,0.0,0.0,0.0
Axel Olson,120743,1022.0,253,12.0,69.5,153.0,0.0,0.0,0.0
Blær Örn Ásgeirsson,80554,998.0,254,11.83,11.8,269.6,0.0,0.0,0.0
Samuel Snider,128704,1003.0,255,11.67,11.7,270.6,0.0,0.0,0.0
Caleb Bruce,101944,1010.0,256,11.66,20.0,236.3,0.0,0.0,0.0
Brandon Green,240431,1002.0,257,11.5,11.5,272.5,0.0,0.0,0.0
Abrahan Bahena,53558,1012.0,258,11.5,11.5,272.5,0.0,0.0,0.0
Colton Lawless,146679,1000.0,259,11.33,13.7,259.2,0.0,0.0,0.0
Dillon Spellman,103705,981.0,260,11.0,11.0,277.1,0.0,0.0,0.0
Ville Ahokas,53538,995.0,261,11.0,11.0,277.0,0.0,0.0,0.0
Evald Sandermoen Øwre,124269,989.0,262,11.0,11.0,277.0,0.0,0.0,0.0
Herman Bentzen Hinkel,113749,976.0,263,11.0,11.0,276.9,0.0,0.0,0.0
Aidan Hosler,145729,999.0,264,11.0,13.1,263.5,0.0,0.0,0.0
Nate Toutolmin,157945,993.0,265,10.67,10.7,281.0,0.0,0.0,0.0
Justin Mateo,165843,986.0,266,10.67,10.7,280.9,0.0,0.0,0.0
Tomáš Mozola,103693,993.0,267,10.67,11.5,274.3,0.0,0.0,0.0
Ricko Kokko,120749,1008.0,268,10.33,10.3,283.2,0.0,0.0,0.0
Bryson Little,181675,994.0,269,10.22,10.2,284.3,0.0,0.0,0.0
Thunder Schultz,56016,1009.0,270,10.0,10.0,288.5,0.0,0.0,0.0
Brenden Koontz,138655,980.0,271,10.0,10.0,288.4,0.0,0.0,0.0
Stanislaus Amann,87790,1003.0,272,10.0,10.0,288.5,0.0,0.0,0.0
Kaspar Kukk,138685,985.0,273,10.0,10.0,288.4,0.0,0.0,0.0
Florian Lingenhel,77589,1004.0,274,10.0,10.0,288.4,0.0,0.0,0.0
Holger Håkansson,119626,980.0,275,10.0,10.0,288.4,0.0,0.0,0.0
