name,pdga_number,rating,current_rank,current_points,mean_final_points,mean_final_rank,p_top18_standings,p_top20,p_no1_seed
Alecia Hinkson,164788,930.0,67,113.83,193.9,60.8,0.0,0.0,0.0
Ali Smith,147050,946.0,68,112.5,112.5,74.6,0.0,0.0,0.0
Peyton Kohut,195550,913.0,69,108.5,146.4,66.1,0.0,0.0,0.0
Netta Leppäaho,245306,945.0,70,105.75,105.8,76.8,0.0,0.0,0.0
Joleigh Miller,178707,929.0,71,102.0,102.0,78.5,0.0,0.0,0.0
Sai Ananda,58303,949.0,72,102.0,175.0,64.9,0.0,0.0,0.0
Leah Tsinajinnie,139109,927.0,74,95.0,130.3,70.7,0.0,0.0,0.0
Emily Yale,144791,893.0,75,92.0,117.2,73.4,0.0,0.0,0.0
Sheliemae Lai,215439,946.0,76,92.0,92.0,80.4,0.0,0.0,0.0
María Eldey Kristínardóttir,140660,916.0,77,91.5,91.5,81.4,0.0,0.0,0.0
Madison Tomaino,60798,921.0,78,83.5,120.1,72.8,0.0,0.0,0.0
Sofie Björlycke,35321,936.0,79,83.25,83.2,83.1,0.0,0.0,0.0
Josefine Johansson,185057,934.0,80,81.0,105.2,77.7,0.0,0.0,0.0
Hailey Huber,150057,932.0,81,81.0,106.3,76.7,0.0,0.0,0.0
Ann Deputy,238187,918.0,82,80.25,86.9,82.9,0.0,0.0,0.0
Kaire Tekku,196237,923.0,83,78.75,78.8,85.6,0.0,0.0,0.0
Zoe AnDyke,39504,930.0,84,77.0,77.0,86.6,0.0,0.0,0.0
Ella Tejler,156259,898.0,85,73.5,73.5,87.8,0.0,0.0,0.0
Hannah Lengel,131583,954.0,86,66.0,127.1,71.8,0.0,0.0,0.0
Nathalie Ortiz,133701,907.0,87,64.25,64.2,89.2,0.0,0.0,0.0
Shiru Liu,158461,914.0,88,63.5,63.5,90.3,0.0,0.0,0.0
Karissa Dedmon,176481,917.0,89,59.0,65.0,90.0,0.0,0.0,0.0
Lexi Marx,193215,929.0,90,57.5,96.6,80.2,0.0,0.0,0.0
Jenny Larsson,179873,921.0,91,54.0,54.0,92.6,0.0,0.0,0.0
Marie Kielas,173601,914.0,92,51.0,51.0,94.7,0.0,0.0,0.0
Lindsey Maas,80935,902.0,93,50.25,52.7,93.5,0.0,0.0,0.0
Hanna Jansson,139387,903.0,94,50.25,50.2,95.8,0.0,0.0,0.0
Jessica Erickson,261058,891.0,95,49.0,49.0,96.8,0.0,0.0,0.0
Lykke Lorentzen,99441,923.0,96,48.0,48.0,98.0,0.0,0.0,0.0
Katka Boďová,61990,916.0,97,48.0,48.0,98.7,0.0,0.0,0.0
Aria Castruita,105126,949.0,98,46.5,46.5,100.0,0.0,0.0,0.0
Kristi Unt,116694,925.0,99,45.0,45.0,101.1,0.0,0.0,0.0
Maarja Soasepp,128532,905.0,100,42.0,42.0,102.5,0.0,0.0,0.0
Ariel Walker,154098,943.0,101,40.25,83.5,86.1,0.0,0.0,0.0
Casey Pennington,74708,916.0,102,39.5,39.5,103.8,0.0,0.0,0.0
Hannah Kellar,198721,898.0,103,38.0,38.0,105.0,0.0,0.0,0.0
Eden Fletcher,209432,905.0,104,38.0,38.0,105.9,0.0,0.0,0.0
Kajsa Wahl,182450,893.0,105,36.75,36.8,107.0,0.0,0.0,0.0
Sonja Laine,96090,899.0,106,36.0,36.0,108.1,0.0,0.0,0.0
Mina Alme,311218,902.0,107,35.25,35.2,109.2,0.0,0.0,0.0
Kersti Miller,72635,890.0,108,34.5,34.5,110.3,0.0,0.0,0.0
Candyce Boyce,149803,895.0,109,33.0,33.0,111.5,0.0,0.0,0.0
Martje Sumowski,222973,913.0,110,33.0,33.0,112.3,0.0,0.0,0.0
Rebecca Minnick,170182,865.0,111,29.0,29.0,114.1,0.0,0.0,0.0
Una Lokmane,281626,878.0,112,28.5,28.5,115.4,0.0,0.0,0.0
Brit Hamburg-Kiin,278450,854.0,113,28.5,28.5,115.8,0.0,0.0,0.0
Stephanie Vincent,29947,925.0,114,28.0,28.0,117.2,0.0,0.0,0.0
Katie Tews,217892,892.0,115,25.5,25.5,119.6,0.0,0.0,0.0
Brook Johnson,108871,905.0,116,24.0,26.7,117.9,0.0,0.0,0.0
Maria Liivamägi,107297,857.0,117,24.0,24.0,121.7,0.0,0.0,0.0
Amelia Saechao,240590,873.0,118,24.0,24.0,121.8,0.0,0.0,0.0
Ellie Bryant,104814,904.0,119,23.75,29.9,115.0,0.0,0.0,0.0
Elina Rydberg,121554,898.0,120,23.25,23.2,123.3,0.0,0.0,0.0
Ashley Phelps,132291,904.0,121,23.0,23.0,124.4,0.0,0.0,0.0
Alex von Stade,82809,893.0,122,22.0,22.0,126.4,0.0,0.0,0.0
Eva Lutsenko,242116,924.0,123,21.75,21.8,127.8,0.0,0.0,0.0
Anna Pinter,106489,875.0,124,21.75,21.8,128.1,0.0,0.0,0.0
Tiger Borth,78232,899.0,125,21.0,23.3,125.1,0.0,0.0,0.0
Anna Damberga,219693,864.0,126,21.0,21.0,129.7,0.0,0.0,0.0
Natalie Berg,268900,883.0,127,19.5,19.5,131.7,0.0,0.0,0.0
Jess Zilch,254333,874.0,128,19.5,19.5,131.7,0.0,0.0,0.0
Jordan Coomes,288014,840.0,129,18.0,18.0,135.5,0.0,0.0,0.0
Isabella Parker,197689,877.0,130,18.0,18.0,135.7,0.0,0.0,0.0
Jennifer Rice,151072,894.0,131,18.0,18.0,135.1,0.0,0.0,0.0
Gry Nagel,279466,820.0,132,18.0,18.0,133.9,0.0,0.0,0.0
Nid Ovathanasin,157471,936.0,133,17.67,45.0,109.5,0.0,0.0,0.0
