,Name,PDGANumber,Division,EventTour,TopEight,TopSixteen,TopThirtyTwo,AverageFinish,SilverSeriesStops,EliteSeriesStops,PDPTStops,NTStopsBeforeMCO,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth,Eleventh,Twelfth,Thirteenth,Fourteenth,Fifteenth,Sixteenth,Seventeenth,Eighteenth,Nineteenth,20th,21st,22nd,23rd,24th,25th,26th,27th,28th,29th,30th,31st,32nd,33rd,34th,35th,36th
16,Jessica Weese,50656,FPO,NT,751,998,1000,7.433,0,0,0,4,0.0,0.0,0.0,34.0,190.0,218.0,170.0,139.0,58.0,51.0,56.0,38.0,27.0,12.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Casey White,81739,MPO,NT,409,946,1000,10.218,0,0,0,4,0.0,0.0,1.0,15.0,53.0,89.0,108.0,143.0,127.0,83.0,48.0,31.0,45.0,55.0,77.0,71.0,38.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Sarah Hokom,34563,FPO,NT,28,892,1000,13.008,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,61.0,75.0,110.0,159.0,198.0,141.0,82.0,38.0,27.0,32.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Ohn Scoggins,48976,FPO,NT,0,881,1000,15.589,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73.0,390.0,416.0,107.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Gregg Barsby,15857,MPO,NT,1,963,1000,13.883,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,46.0,128.0,212.0,254.0,193.0,116.0,28.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Paige Pierce,29190,FPO,NT,998,1000,1000,4.113,0,0,0,3,0.0,0.0,80.0,789.0,91.0,29.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Jeremy Koling,33705,MPO,NT,0,0,1000,23.477,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,75.0,170.0,241.0,231.0,158.0,82.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Nathan Queen,68286,MPO,NT,0,3,664,31.196,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,18.0,22.0,28.0,54.0,54.0,55.0,54.0,43.0,49.0,52.0,29.0,62.0,40.0,42.0,55.0,29.0,49.0,34.0,8.0
24,Joel Freeman,69509,MPO,NT,0,352,930,20.699,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,45.0,48.0,54.0,58.0,64.0,60.0,44.0,48.0,34.0,47.0,59.0,39.0,42.0,37.0,37.0,37.0,29.0,26.0,24.0,12.0,25.0,38.0,30.0,24.0,10.0,5.0
25,Alden Harris,98091,MPO,NT,293,753,1000,11.835,0,0,0,4,0.0,0.0,0.0,3.0,29.0,60.0,93.0,108.0,108.0,105.0,69.0,57.0,22.0,16.0,32.0,51.0,62.0,88.0,57.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
